Frame,Object ID,Class,Traffic Status,Movement Direction,Entry/Exit Status
3,1,Vehicle,Light Traffic,Right,In Zone
3,2,Vehicle,Light Traffic,Right,In Zone
4,1,Vehicle,Light Traffic,Right,In Zone
4,2,Vehicle,Light Traffic,Left,In Zone
5,1,Vehicle,Light Traffic,Right,In Zone
5,2,Vehicle,Light Traffic,Left,In Zone
6,1,Vehicle,Light Traffic,Right,In Zone
6,2,Vehicle,Light Traffic,Left,In Zone
7,1,Vehicle,Light Traffic,Left,In Zone
7,2,Vehicle,Light Traffic,Left,In Zone
8,1,Vehicle,Light Traffic,Right,In Zone
8,2,Vehicle,Light Traffic,Left,In Zone
9,1,Vehicle,Light Traffic,Left,In Zone
9,2,Vehicle,Light Traffic,Left,In Zone
10,1,Vehicle,Light Traffic,Right,In Zone
10,2,Vehicle,Light Traffic,Left,In Zone
10,3,Vehicle,Light Traffic,Right,In Zone
11,1,Vehicle,Light Traffic,Right,In Zone
11,2,Vehicle,Light Traffic,Left,In Zone
11,3,Vehicle,Light Traffic,Left,In Zone
12,1,Vehicle,Light Traffic,Left,In Zone
12,2,Vehicle,Light Traffic,Left,In Zone
12,3,Vehicle,Light Traffic,Left,In Zone
13,1,Vehicle,Light Traffic,Right,In Zone
13,2,Vehicle,Light Traffic,Left,In Zone
13,3,Vehicle,Light Traffic,Left,In Zone
14,1,Vehicle,Light Traffic,Right,In Zone
14,2,Vehicle,Light Traffic,Left,In Zone
14,3,Vehicle,Light Traffic,Left,In Zone
15,1,Vehicle,Light Traffic,Right,In Zone
15,2,Vehicle,Light Traffic,Left,In Zone
15,3,Vehicle,Light Traffic,Left,In Zone
16,1,Vehicle,Light Traffic,Right,In Zone
16,2,Vehicle,Light Traffic,Right,In Zone
16,3,Vehicle,Light Traffic,Left,In Zone
17,1,Vehicle,Light Traffic,Left,In Zone
17,2,Vehicle,Light Traffic,Left,In Zone
17,3,Vehicle,Light Traffic,Left,In Zone
18,1,Vehicle,Light Traffic,Right,In Zone
18,2,Vehicle,Light Traffic,Left,In Zone
18,3,Vehicle,Light Traffic,Left,In Zone
19,1,Vehicle,Light Traffic,Right,In Zone
19,2,Vehicle,Light Traffic,Left,In Zone
19,3,Vehicle,Light Traffic,Left,In Zone
20,1,Vehicle,Light Traffic,Left,In Zone
20,2,Vehicle,Light Traffic,Left,In Zone
20,3,Vehicle,Light Traffic,Left,In Zone
21,1,Vehicle,Light Traffic,Right,In Zone
21,2,Vehicle,Light Traffic,Left,In Zone
21,3,Vehicle,Light Traffic,Left,In Zone
21,4,Vehicle,Light Traffic,Right,In Zone
22,1,Vehicle,Light Traffic,Right,In Zone
22,2,Vehicle,Light Traffic,Left,In Zone
22,3,Vehicle,Light Traffic,Left,In Zone
22,4,Vehicle,Light Traffic,Left,In Zone
23,1,Vehicle,Light Traffic,Right,In Zone
23,2,Vehicle,Light Traffic,Left,In Zone
23,3,Vehicle,Light Traffic,Left,In Zone
23,4,Vehicle,Light Traffic,Right,In Zone
24,1,Vehicle,Light Traffic,Left,In Zone
24,2,Vehicle,Light Traffic,Right,In Zone
24,3,Vehicle,Light Traffic,Left,In Zone
24,4,Vehicle,Light Traffic,Left,In Zone
25,1,Vehicle,Light Traffic,Right,In Zone
25,2,Vehicle,Light Traffic,Left,In Zone
25,3,Vehicle,Light Traffic,Left,In Zone
25,4,Vehicle,Light Traffic,Left,In Zone
26,1,Vehicle,Light Traffic,Right,In Zone
26,2,Vehicle,Light Traffic,Left,In Zone
26,3,Vehicle,Light Traffic,Left,In Zone
26,4,Vehicle,Light Traffic,Right,In Zone
27,1,Vehicle,Light Traffic,Right,In Zone
27,2,Vehicle,Light Traffic,Left,In Zone
27,3,Vehicle,Light Traffic,Left,In Zone
27,4,Vehicle,Light Traffic,Right,In Zone
28,1,Vehicle,Light Traffic,Right,In Zone
28,2,Vehicle,Light Traffic,Left,In Zone
28,3,Vehicle,Light Traffic,Left,In Zone
28,4,Vehicle,Light Traffic,Right,In Zone
29,1,Vehicle,Light Traffic,Right,In Zone
29,2,Vehicle,Light Traffic,Left,In Zone
29,3,Vehicle,Light Traffic,Left,In Zone
29,4,Vehicle,Light Traffic,Left,In Zone
30,1,Vehicle,Light Traffic,Right,In Zone
30,2,Vehicle,Light Traffic,Left,In Zone
30,3,Vehicle,Light Traffic,Left,In Zone
30,4,Vehicle,Light Traffic,Left,In Zone
31,1,Vehicle,Light Traffic,Right,In Zone
31,2,Vehicle,Light Traffic,Left,In Zone
31,3,Vehicle,Light Traffic,Left,In Zone
31,4,Vehicle,Light Traffic,Right,In Zone
32,1,Vehicle,Light Traffic,Right,In Zone
32,2,Vehicle,Light Traffic,Left,In Zone
32,3,Vehicle,Light Traffic,Left,In Zone
32,4,Vehicle,Light Traffic,Left,In Zone
33,1,Vehicle,Light Traffic,Left,In Zone
33,2,Vehicle,Light Traffic,Left,In Zone
33,3,Vehicle,Light Traffic,Left,In Zone
33,4,Vehicle,Light Traffic,Left,In Zone
34,1,Vehicle,Light Traffic,Right,In Zone
34,2,Vehicle,Light Traffic,Left,In Zone
34,3,Vehicle,Light Traffic,Left,In Zone
34,4,Vehicle,Light Traffic,Left,In Zone
34,6,Vehicle,Light Traffic,Right,In Zone
35,1,Vehicle,Light Traffic,Left,In Zone
35,2,Vehicle,Light Traffic,Left,In Zone
35,3,Vehicle,Light Traffic,Left,In Zone
35,4,Vehicle,Light Traffic,Right,In Zone
35,6,Vehicle,Light Traffic,Right,In Zone
36,1,Vehicle,Light Traffic,Right,In Zone
36,2,Vehicle,Light Traffic,Left,Entered
36,3,Vehicle,Light Traffic,Left,In Zone
36,4,Vehicle,Light Traffic,Left,In Zone
36,6,Vehicle,Light Traffic,Right,In Zone
37,1,Vehicle,Light Traffic,Right,In Zone
37,2,Vehicle,Light Traffic,Left,Entered
37,3,Vehicle,Light Traffic,Left,In Zone
37,4,Vehicle,Light Traffic,Left,In Zone
37,6,Vehicle,Light Traffic,Right,In Zone
38,1,Vehicle,Light Traffic,Right,In Zone
38,2,Vehicle,Light Traffic,Left,Entered
38,3,Vehicle,Light Traffic,Left,In Zone
38,4,Vehicle,Light Traffic,Left,In Zone
38,6,Vehicle,Light Traffic,Left,In Zone
39,1,Vehicle,Light Traffic,Left,In Zone
39,2,Vehicle,Light Traffic,Left,Entered
39,3,Vehicle,Light Traffic,Left,In Zone
39,4,Vehicle,Light Traffic,Left,In Zone
